time,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi
0.01,1.4999998252761242,0.0007239969589838404,1.5002413323196613,0.0,0.0,0.0
0.02,1.4998815663057243,0.01884905982502891,1.5062830199416763,0.0,0.0,0.0
0.03,1.4995262839249501,0.03769514316500622,1.5125650477216688,-0.35024485653306886,-0.25492264569329615,0.0
0.04,1.4989342089608841,0.05653527400490181,1.5188450913349674,-0.3377170711326439,-0.2500694708690582,0.0
0.05,1.4981054349090264,0.07536647726965434,1.5251221590898847,-0.3325881540212075,-0.24731667447144612,0.0
0.060000000000000005,1.4970400926424074,0.09418577929397007,1.5313952597646567,-0.32605185320350494,-0.24594299150878013,0.0
0.07,1.495738350390921,0.11299020829189908,1.5376634027639664,-0.319651940570346,-0.2456969735882365,0.0
0.08,1.4942004137147586,0.13177679482611476,1.5439255982753717,-0.3135500901664694,-0.24668038167058737,0.0
0.09,1.4924265254719502,0.15054257227682233,1.5501808574256075,-0.30796985608550137,-0.24792125112331562,0.0
0.09999999999999999,1.4904169657800124,0.16928457731022253,1.556428192436741,-0.30279947811768615,-0.2495827481266512,0.0
0.10999999999999999,1.4881720519717165,0.18799985034645633,1.5626666167821521,-0.2980103697321232,-0.25152314485632493,0.0
0.11999999999999998,1.4856921385449766,0.20668543602695708,1.568895145342319,-0.293565648547277,-0.25363570178500255,0.0
0.12999999999999998,1.482977617106871,0.22533838368113557,1.5751127945603784,-0.2893370325603105,-0.2560525577469939,0.0
0.13999999999999999,1.4800289163118021,0.24395574779232537,1.5813185825974418,-0.2854670440416276,-0.25828734644263607,0.0
0.15,1.4768465017938082,0.2625345884629141,1.587511529487638,-0.2818244228609143,-0.26052374497929637,0.0
0.16,1.473430876093033,0.28107197187858696,1.5936906572928624,-0.27838206932838333,-0.2627446380739584,0.0
0.17,1.4697825785763705,0.2995649707716106,1.5998549902572035,-0.2749427621464742,-0.2650697031776495,0.0
0.18000000000000002,1.4659021853522904,0.31801066488308205,1.6060035549610274,-0.2718736514535686,-0.2672666878897745,0.0
0.19000000000000003,1.4617903091798659,0.3364061414240718,1.6121353804746905,-0.2689372247702973,-0.26943399849786315,0.0
0.20000000000000004,1.457447599372011,0.35474849553558707,1.6182494985118623,-0.2661031093326357,-0.2715564671016208,0.0
0.21000000000000005,1.452874741692947,0.3730348307472823,1.6243449435824275,-0.2633571605479111,-0.273633571797654,0.0
0.22000000000000006,1.4480724582499112,0.3912622594348456,1.6304207531449486,-0.25947857189782364,-0.2756571549435109,0.0
0.23000000000000007,1.443041507379129,0.409427903275988,1.6364759677586627,-0.2569840718662247,-0.27773332071779594,0.0
0.24000000000000007,1.437782683526064,0.42752889370496433,1.642509631234988,-0.25462591847460414,-0.279846923090574,0.0
0.25000000000000006,1.4322968171199646,0.4455623723655525,1.6485207907885175,-0.2522812749743848,-0.28184910056196727,0.0
0.26000000000000006,1.4265847744427307,0.4635254915624213,1.6545084971874737,-0.24839460154776435,-0.2833932444228951,0.0
0.2700000000000001,1.4206474574921164,0.4814154147108144,1.660471804903605,-0.2446264456466793,-0.2844381508444217,0.0
0.2800000000000001,1.414485803839297,0.4992293167844802,1.6664097722614934,-0.24250379044544143,-0.28589213886093634,0.0
0.2900000000000001,1.4081007864808113,0.5169643847617758,1.6723214615872586,-0.24051680210198398,-0.2896548350703744,0.0
0.3000000000000001,1.401493413684918,0.5346178180698762,1.6782059393566253,-0.23845565800526253,-0.29263570570205144,0.0
0.3100000000000001,1.3946647288323772,0.5521868290270171,1.684062276342339,-0.23633528865204434,-0.29536237460910325,0.0
0.3200000000000001,1.387615810251687,0.5696686432827018,1.6898895477609006,-0.23229465336147473,-0.2976059321720616,0.0
0.3300000000000001,1.3803477710488055,0.5870605002558038,1.6956868334186013,-0.2300815508792597,-0.3000489405295948,0.0
0.34000000000000014,1.372861758931376,0.6043596535704943,1.7014532178568313,-0.2279398922175805,-0.30255609207121426,0.0
0.35000000000000014,1.3651589560274935,0.6215633714899265,1.7071877904966422,-0.22574464204515357,-0.30496201080299823,0.0
0.36000000000000015,1.3572405786990291,0.6386689373476091,1.7128896457825364,-0.22034353365849102,-0.3065732813982707,0.0
0.37000000000000016,1.3491078773495562,0.6556736499763995,1.7185578833254664,-0.21795399992422082,-0.30864663307882517,0.0
0.38000000000000017,1.3407621362268953,0.6725748241350487,1.7241916080450161,-0.21575058407381018,-0.3109860698666816,0.0
0.3900000000000002,1.3322046732203168,0.689369790932232,1.729789930310744,-0.21349425615663492,-0.31323572353843754,0.0
0.4000000000000002,1.3234368396524299,0.706055898247999,1.7353519660826664,-0.21119172754481896,-0.3154045324538592,0.0
