time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r
0.01,1.4055322408676147,0.029853548854589462,1.6649470329284668,0.02175582738860439,-0.037654599389462355,-0.017973319847440643,-0.009305079030699305,0.030124597559400945,-0.00017152864158328043,-0.015277000144124031,-0.005553165450692177,-0.0014216026756912463
0.02,1.4055322408676147,0.029853548854589462,1.6649470329284668,0.02175582738860439,-0.037654599389462355,-0.017973319847440643,-0.009305079030699305,0.030124597559400945,-0.00017152864158328043,-0.015277000144124031,-0.005553165450692177,-0.0014216026756912463
0.03,1.4055322408676147,0.029853548854589462,1.6649470329284668,0.02175582738860439,-0.037654599389462355,-0.017973319847440643,-0.009305079030699305,0.030124597559400945,-0.00017152864158328043,-0.015277000144124031,-0.005553165450692177,-0.0014216026756912463
0.04,1.4055322408676147,0.029853548854589462,1.6649470329284668,0.02175582738860439,-0.037654599389462355,-0.017973319847440643,-0.009305079030699305,0.030124597559400945,-0.00017152864158328043,-0.015277000144124031,-0.005553165450692177,-0.0014216026756912463
0.05,1.4055322408676147,0.029853548854589462,1.6649470329284668,0.02175582738860439,-0.037654599389462355,-0.017973319847440643,-0.009305079030699305,0.030124597559400945,-0.00017152864158328043,-0.015277000144124031,-0.005553165450692177,-0.0014216026756912463
0.060000000000000005,1.4055322408676147,0.029853548854589462,1.6649470329284668,0.02175582738860439,-0.037654599389462355,-0.017973319847440643,-0.009305079030699305,0.030124597559400945,-0.00017152864158328043,-0.015277000144124031,-0.005553165450692177,-0.0014216026756912463
0.07,1.4081696271896362,0.030613329261541367,1.6626100540161133,0.022058441023874734,-0.037632876818165004,-0.018510239285468987,-0.009504529301781367,0.029985847761677842,-0.00021214764128365873,4.853183054365218e-05,-0.005352216772735119,-0.0008737212046980851
0.08,1.4081696271896362,0.030613329261541367,1.6626100540161133,0.022058441023874734,-0.037632876818165004,-0.018510239285468987,-0.009504529301781367,0.029985847761677842,-0.00021214764128365873,4.853183054365218e-05,-0.005352216772735119,-0.0008737212046980851
0.09,1.4081696271896362,0.030613329261541367,1.6626100540161133,0.022058441023874734,-0.037632876818165004,-0.018510239285468987,-0.009504529301781367,0.029985847761677842,-0.00021214764128365873,4.853183054365218e-05,-0.005352216772735119,-0.0008737212046980851
0.09999999999999999,1.4081696271896362,0.030613329261541367,1.6626100540161133,0.022058441023874734,-0.037632876818165004,-0.018510239285468987,-0.009504529301781367,0.029985847761677842,-0.00021214764128365873,4.853183054365218e-05,-0.005352216772735119,-0.0008737212046980851
0.10999999999999999,1.4081696271896362,0.030613329261541367,1.6626100540161133,0.022058441023874734,-0.037632876818165004,-0.018510239285468987,-0.009504529301781367,0.029985847761677842,-0.00021214764128365873,4.853183054365218e-05,-0.005352216772735119,-0.0008737212046980851
0.11999999999999998,1.410558819770813,0.03133643791079521,1.6604262590408325,0.021948387271489702,-0.03746016220313646,-0.016514055112010696,-0.009525195195832626,0.029889460975347875,-0.00022337935446063993,-0.012123220600187778,-0.006585374940186739,-0.0008267850498668842
0.12999999999999998,1.410558819770813,0.03133643791079521,1.6604262590408325,0.021948387271489702,-0.03746016220313646,-0.016514055112010696,-0.009525195195832626,0.029889460975347875,-0.00022337935446063993,-0.012123220600187778,-0.006585374940186739,-0.0008267850498668842
0.13999999999999999,1.410558819770813,0.03133643791079521,1.6604262590408325,0.021948387271489702,-0.03746016220313646,-0.016514055112010696,-0.009525195195832626,0.029889460975347875,-0.00022337935446063993,-0.012123220600187778,-0.006585374940186739,-0.0008267850498668842
0.15,1.410558819770813,0.03133643791079521,1.6604262590408325,0.021948387271489702,-0.03746016220313646,-0.016514055112010696,-0.009525195195832626,0.029889460975347875,-0.00022337935446063993,-0.012123220600187778,-0.006585374940186739,-0.0008267850498668842
0.16,1.4135721921920776,0.03194424882531166,1.6580780744552612,0.021547196393608865,-0.03656603892626791,0.0009368972354661248,-0.01434699686957264,0.02945309658991559,-0.00025707825655093744,-0.21940679848194122,-0.016361191868782043,0.0020418618805706523
0.17,1.4135721921920776,0.03194424882531166,1.6580780744552612,0.021547196393608865,-0.03656603892626791,0.0009368972354661248,-0.01434699686957264,0.02945309658991559,-0.00025707825655093744,-0.21940679848194122,-0.016361191868782043,0.0020418618805706523
0.18000000000000002,1.4135721921920776,0.03194424882531166,1.6580780744552612,0.021547196393608865,-0.03656603892626791,0.0009368972354661248,-0.01434699686957264,0.02945309658991559,-0.00025707825655093744,-0.21940679848194122,-0.016361191868782043,0.0020418618805706523
0.19000000000000003,1.4135721921920776,0.03194424882531166,1.6580780744552612,0.021547196393608865,-0.03656603892626791,0.0009368972354661248,-0.01434699686957264,0.02945309658991559,-0.00025707825655093744,-0.21940679848194122,-0.016361191868782043,0.0020418618805706523
0.20000000000000004,1.4135721921920776,0.03194424882531166,1.6580780744552612,0.021547196393608865,-0.03656603892626791,0.0009368972354661248,-0.01434699686957264,0.02945309658991559,-0.00025707825655093744,-0.21940679848194122,-0.016361191868782043,0.0020418618805706523
0.21000000000000005,1.4177272319793701,0.03265044838190079,1.6570910215377808,0.021035296133060544,-0.027883195527470123,0.052816093628974395,-0.03280847780000171,0.02814387670580531,-0.00027828483925134914,-0.31353628635406494,-0.0163853969424963,0.00030391785549000106
0.22000000000000006,1.4177272319793701,0.03265044838190079,1.6570910215377808,0.021035296133060544,-0.027883195527470123,0.052816093628974395,-0.03280847780000171,0.02814387670580531,-0.00027828483925134914,-0.31353628635406494,-0.0163853969424963,0.00030391785549000106
