time,thrust,throttle
0.01,12.819644604682248,0.33515359090707325
0.02,9.353253861712775,0.2445291359538579
0.03,9.372946210027079,0.24504396779627274
0.04,9.393510948415019,0.24558160718717015
0.05,9.414340356350422,0.2461261660326992
0.06,9.435629384389717,0.24668274107158017
0.07,9.434039151208985,0.24664116641195916
0.08,9.456445684837464,0.24722695723822138
0.09,9.478833945587434,0.2478122703429057
0.1,9.502091261648909,0.24842030381288327
0.11,9.086941036508938,0.23756671987883865
0.12,9.109449461464292,0.23815517452653567
0.13,9.132639704723529,0.23876145446190167
0.14,9.15674304368391,0.2393916061435225
0.15,9.181016358250812,0.24002620162500277
0.16,8.856285494121202,0.2315365189116735
0.17,8.87571473819606,0.232044472222479
0.18,5.853550490117392,0.15303376394710355
0.19,5.878999001645466,0.1536990834848042
0.2,5.906104659262001,0.15440772703649527
0.21,5.930876796840475,0.15505536362236733
0.22,5.497662274399902,0.14372951120552105
0.23,5.523756721728239,0.14441171792766633
0.24,5.5513177935059,0.14513226771359072
0.25,5.579528955838721,0.14586981330483542
0.26,5.608058393777303,0.14661567981412882
0.27,5.316515012379547,0.13899364237129985
0.28,5.342649853591489,0.13967690514106254
0.29,5.369682359302345,0.14038363622757805
0.3,5.397607736572201,0.1411137103254207
0.31,5.426413149640277,0.1418667918596624
0.32,5.56001097093025,0.14535953997581078
0.33,5.593699199948945,0.1462402766323318
0.34,5.628178521789447,0.14714169542226177
0.35,5.650416950643044,0.1477230913592203
0.36,5.908985750123384,0.1544830495573372
0.37,5.944121206656434,0.15540162216900774
0.38,6.444635555195076,0.16848694445258894
0.39,6.474177185867784,0.16925927347624944
0.4,6.5021923847403915,0.16999169584767
0.41,6.528512832177777,0.17067981106029442
0.42,9.459061408453133,0.2472953420639826
0.43,9.487154185733033,0.24802979262593283
0.44,9.518571100000784,0.24885114859614518
0.45,9.557587390606521,0.2498711807658054
0.46,9.59481038363723,0.25084432941097096
0.47,10.03473686563366,0.2623456576242638
0.48,10.071293162716959,0.26330137633687606
0.49,10.107103670004012,0.2642375973070796
0.5,10.141905172614127,0.26514743911068794
0.51,10.463000936601615,0.27354208667261415
0.52,10.492834964154873,0.2743220600473864
0.53,10.52153307677979,0.27507233634560635
0.54,10.549450423194239,0.27580220048676846
0.55,10.576636774057311,0.27651295366256945
0.56,10.461620934426447,0.2735060082399641
0.57,10.488160209766177,0.27419984443468465
0.58,10.514049160991132,0.2748766787179605
0.59,10.539827053960579,0.27555060952190596
0.6,10.564033937695244,0.2761834682522783
0.61,9.520050084712294,0.24888981480353584
0.62,9.55697989623317,0.24985529858443742
0.63,9.592711112263089,0.25078944658379226
0.64,9.627865431976728,0.251708512349751
0.65,9.660722459373787,0.2525675182784048
0.66,9.011906313347067,0.23560503079260345
0.67,9.054274611261777,0.2367126970052494
0.68,9.095788915713781,0.23779803662582025
0.69,9.135727185884681,0.23884217279926026
0.7,8.195295555030722,0.2142557628165545
0.71,8.210779561880154,0.21466057282940942
0.72,8.237703601201186,0.2153644681976844
0.73,8.272274977176242,0.21626829362794683
0.74,8.312049198677483,0.2173081409538864
0.75,4.5007811292031485,0.11766729920018842
0.76,4.534618162137711,0.11855192614916933
0.77,4.570434361235507,0.11948829592465317
0.78,4.60940105751442,0.12050703151260332
0.79,4.008435796830758,0.10479554563763846
0.8,4.03061428748864,0.10537537456535874
0.81,3.8459337883619704,0.10054713366153471
0.82,3.8620877799367146,0.10096945958793213
0.83,3.879494880664448,0.10142454648745898
0.84,3.8992520064244283,0.10194107185525596
0.85,3.91846944688019,0.10244348782507458
0.86,4.017284841380295,0.10502689285110105
0.87,4.034345088030872,0.10547291168415146
0.88,4.053281595621552,0.10596798301521919
0.89,4.073702992402309,0.10650187491889247
0.9,4.490965366865023,0.11741067835799193
0.91,4.509846388518137,0.11790429907854796
0.92,4.5320231243691085,0.11848408212903408
0.93,4.557745666234612,0.1191565658475244
0.94,5.6036985763324045,0.14650169783433015
0.95,5.6554500600841795,0.14785467571702757
0.96,5.687856091433863,0.1487018909175119
0.97,5.730076652005684,0.14980569472191588
0.98,5.775260719656588,0.15098697571620004
0.99,6.416230135057427,0.16774432023374905
1.0,6.430561411314488,0.16811899354552565
1.01,9.906942740845409,0.25900463990182515
1.02,9.956241545827318,0.26029349556254133
1.03,10.001851843751803,0.26148591981478225
1.04,10.044457290809133,0.2632515518194019
1.05,10.611613601730792,0.27811594664448724
1.06,10.640644283371891,0.27887680129010234
1.07,10.668092448835786,0.279596180341032
1.08,10.693420574772926,0.28025999604202867
1.09,10.717626061528863,0.28089438889836293
1.1,11.153423925412243,0.29231605764813756
1.11,11.173181056834267,0.29283386516682813
1.12,11.19245686544615,0.29333905786990183
1.13,11.210749065613706,0.2938184715346607
1.14,11.11483223227904,0.2913046219069602
1.15,11.131787831506069,0.2917490050806163
1.16,11.14861530846283,0.29219003034398483
1.17,11.164512794872671,0.2926066818211381
1.18,11.180474438558518,0.2930250147731565
1.19,10.86184310789967,0.28467412135744413
1.2,10.87679486511168,0.2850659865597672
1.21,10.406462044668713,0.27273920361187204
1.22,10.422014198299141,0.27314680438698713
1.23,10.437095185105273,0.2735420565210486
1.24,10.451727815171004,0.2739255578353036
1.25,9.673695864397946,0.25353439956003304
1.26,9.689703707504224,0.25395394333596855
1.27,9.705225903298125,0.25436075895697063
1.28,9.720295002896764,0.2547556995435061
1.29,8.894171116937102,0.23310411711575738
1.3,8.91350859121494,0.2336109259919887
1.31,8.930932244409343,0.23406757622295607
1.32,8.948011873607745,0.23451521005331677
