time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r
0.01,1.1652792692184448,-0.06395750492811203,1.020997166633606,0.009631810061975589,0.042200633456124834,-0.026424796824956135,-0.013192780968361835,0.018597887574442338,-7.758418621053875e-05,0.008851350285112858,0.0003411668876651677,0.0023287676740437746
0.02,1.1652792692184448,-0.06395750492811203,1.020997166633606,0.009631810061975589,0.042200633456124834,-0.026424796824956135,-0.013192780968361835,0.018597887574442338,-7.758418621053875e-05,0.008851350285112858,0.0003411668876651677,0.0023287676740437746
0.03,1.1652792692184448,-0.06395750492811203,1.020997166633606,0.009631810061975589,0.042200633456124834,-0.026424796824956135,-0.013192780968361835,0.018597887574442338,-7.758418621053875e-05,0.008851350285112858,0.0003411668876651677,0.0023287676740437746
0.04,1.1653337478637695,-0.06458377838134766,1.0212886333465576,0.00867118059279289,0.04085194471223568,-0.02517822125232906,-0.012397675114829433,0.018447010039827887,-7.330116005940336e-05,0.010038938373327255,-0.0036080135032534595,0.001865403377451003
0.05,1.1653337478637695,-0.06458377838134766,1.0212886333465576,0.00867118059279289,0.04085194471223568,-0.02517822125232906,-0.012397675114829433,0.018447010039827887,-7.330116005940336e-05,0.010038938373327255,-0.0036080135032534595,0.001865403377451003
0.06,1.1653337478637695,-0.06458377838134766,1.0212886333465576,0.00867118059279289,0.04085194471223568,-0.02517822125232906,-0.012397675114829433,0.018447010039827887,-7.330116005940336e-05,0.010038938373327255,-0.0036080135032534595,0.001865403377451003
0.07,1.1653337478637695,-0.06458377838134766,1.0212886333465576,0.00867118059279289,0.04085194471223568,-0.02517822125232906,-0.012397675114829433,0.018447010039827887,-7.330116005940336e-05,0.010038938373327255,-0.0036080135032534595,0.001865403377451003
0.08,1.1651557683944702,-0.06521093845367432,1.0222548246383667,0.008200807379976173,0.03986912620778685,0.05964867566899996,-0.013376423658065559,0.01568369931294907,-0.00015101071737598441,-0.068741574883461,-0.16677285730838776,-0.009655329398810843
0.09,1.1651557683944702,-0.06521093845367432,1.0222548246383667,0.008200807379976173,0.03986912620778685,0.05964867566899996,-0.013376423658065559,0.01568369931294907,-0.00015101071737598441,-0.068741574883461,-0.16677285730838776,-0.009655329398810843
0.1,1.1648951768875122,-0.06572640687227249,1.0323222875595093,-0.001382639496221024,0.04093508520383203,0.3834117159025241,-0.021797881888785963,-0.011759830624470656,-0.0009553337074358847,-0.4690425992012024,-1.5986534357070923,-0.0729329138994215
0.11,1.1648951768875122,-0.06572640687227249,1.0323222875595093,-0.001382639496221024,0.04093508520383203,0.3834117159025241,-0.021797881888785963,-0.011759830624470656,-0.0009553337074358847,-0.4690425992012024,-1.5986534357070923,-0.0729329138994215
0.12,1.1648951768875122,-0.06572640687227249,1.0323222875595093,-0.001382639496221024,0.04093508520383203,0.3834117159025241,-0.021797881888785963,-0.011759830624470656,-0.0009553337074358847,-0.4690425992012024,-1.5986534357070923,-0.0729329138994215
0.13,1.1648951768875122,-0.06572640687227249,1.0323222875595093,-0.001382639496221024,0.04093508520383203,0.3834117159025241,-0.021797881888785963,-0.011759830624470656,-0.0009553337074358847,-0.4690425992012024,-1.5986534357070923,-0.0729329138994215
0.14,1.1648951768875122,-0.06572640687227249,1.0323222875595093,-0.001382639496221024,0.04093508520383203,0.3834117159025241,-0.021797881888785963,-0.011759830624470656,-0.0009553337074358847,-0.4690425992012024,-1.5986534357070923,-0.0729329138994215
0.15,1.1634957790374756,-0.06562608480453491,1.0467033386230469,0.02317464592210998,0.021612988780803304,0.5731918816457648,-0.08577991765674435,-0.17824181428918212,-0.00224047768041145,-3.145622968673706,-5.10037899017334,-0.38037407398223816
0.16,1.1634957790374756,-0.06562608480453491,1.0467033386230469,0.02317464592210998,0.021612988780803304,0.5731918816457648,-0.08577991765674435,-0.17824181428918212,-0.00224047768041145,-3.145622968673706,-5.10037899017334,-0.38037407398223816
0.17,1.1634957790374756,-0.06562608480453491,1.0467033386230469,0.02317464592210998,0.021612988780803304,0.5731918816457648,-0.08577991765674435,-0.17824181428918212,-0.00224047768041145,-3.145622968673706,-5.10037899017334,-0.38037407398223816
0.18,1.1634957790374756,-0.06562608480453491,1.0467033386230469,0.02317464592210998,0.021612988780803304,0.5731918816457648,-0.08577991765674435,-0.17824181428918212,-0.00224047768041145,-3.145622968673706,-5.10037899017334,-0.38037407398223816
0.19,1.1634957790374756,-0.06562608480453491,1.0467033386230469,0.02317464592210998,0.021612988780803304,0.5731918816457648,-0.08577991765674435,-0.17824181428918212,-0.00224047768041145,-3.145622968673706,-5.10037899017334,-0.38037407398223816
0.2,1.158564567565918,-0.0635794922709465,1.0682719945907593,0.03067027930633051,-0.05031697384865133,0.7355917254251847,-0.2770387534379522,-0.34455376595154813,0.009687136402903031,-5.027281761169434,-3.075012683868408,-0.41997092962264976
0.21,1.158564567565918,-0.0635794922709465,1.0682719945907593,0.03067027930633051,-0.05031697384865133,0.7355917254251847,-0.2770387534379522,-0.34455376595154813,0.009687136402903031,-5.027281761169434,-3.075012683868408,-0.41997092962264976
0.22,1.158564567565918,-0.0635794922709465,1.0682719945907593,0.03067027930633051,-0.05031697384865133,0.7355917254251847,-0.2770387534379522,-0.34455376595154813,0.009687136402903031,-5.027281761169434,-3.075012683868408,-0.41997092962264976
0.23,1.158564567565918,-0.0635794922709465,1.0682719945907593,0.03067027930633051,-0.05031697384865133,0.7355917254251847,-0.2770387534379522,-0.34455376595154813,0.009687136402903031,-5.027281761169434,-3.075012683868408,-0.41997092962264976
