time,dx_obs,dy_obs,dz_obs
1.25,0.0,0.0,-1.8857766393566757
1.26,0.0,0.0,-1.9014839079816999
1.27,0.0,0.0,-1.9140213209041717
1.28,0.0,0.0,-1.9271223392402692
1.29,0.0,0.0,-1.9408286527336738
1.3,0.0,0.0,-1.9551264706810803
1.31,0.0,0.0,-1.9699980447949772
1.32,0.0,0.0,-1.9624776351174926
1.33,0.0,0.0,-1.9646403603676712
1.34,0.0,0.0,-1.9720055357970108
1.35,0.0,0.0,-1.9822876650914543
1.36,0.0,0.0,-1.9799758082067447
1.37,0.0,0.0,-1.9633736353764073
1.38,0.0,0.0,-1.9539628647875695
1.39,0.0,0.0,-1.9551973627638461
1.4,0.0,0.0,-1.9631123691148866
1.41,0.0,0.0,-1.9743800976054837
1.42,0.0,0.0,-1.9653454528564236
1.43,0.0,0.0,-1.967209423174848
1.44,0.0,0.0,-1.975240281689742
1.45,0.0,0.0,-1.9864780897308423
1.46,0.0,0.0,-1.9788005976932885
1.47,0.0,0.0,-1.9818794754208215
1.48,0.0,0.0,-1.990016996469074
1.49,0.0,0.0,-2.0009799211755412
1.5,0.0,0.0,-1.9862518867529029
1.51,0.0,0.0,-1.978359201913248
1.52,0.0,0.0,-1.9804887936846252
1.53,0.0,0.0,-1.9877526955527107
1.54,0.0,0.0,-1.9976108421331986
1.55,0.0,0.0,-1.9710232484044252
1.56,0.0,0.0,-1.9506606414147791
1.57,0.0,0.0,-1.9365319951126991
1.58,0.0,0.0,-1.9287173261746553
1.59,0.0,0.0,-1.9143411923868818
1.6,0.0,0.0,-1.9061279033116258
1.61,0.0,0.0,-1.891444646128438
1.62,0.0,0.0,-1.8827621283808549
1.63,0.0,0.0,-1.8810015227882881
1.64,0.0,0.0,-1.8864725026288474
1.65,0.0,0.0,-1.8802841710780618
1.66,0.0,0.0,-1.882021271390741
1.67,0.0,0.0,-1.887349661476537
1.68,0.0,0.0,-1.8941421871518507
1.69,0.0,0.0,-1.9017523798247407
1.7,0.0,0.0,-1.896216594829445
1.71,0.0,0.0,-1.8951761801683527
1.72,0.0,0.0,-1.8982227657203983
1.73,0.0,0.0,-1.902130430979363
1.74,0.0,0.0,-1.899812147298364
1.75,0.0,0.0,-1.901037119791793
1.76,0.0,0.0,-1.902680810926521
1.77,0.0,0.0,-1.9043094870423376
1.78,0.0,0.0,-1.9054135102213738
1.79,0.0,0.0,-1.9121099526045102
1.8,0.0,0.0,-1.916750065530283
1.81,0.0,0.0,-1.926836059976639
1.82,0.0,0.0,-1.933858680047549
1.83,0.0,0.0,-1.9376245855790126
1.84,0.0,0.0,-1.9365440368437707
1.85,0.0,0.0,-1.933445408910379
1.86,0.0,0.0,-1.941930048662379
1.87,0.0,0.0,-1.9463523578084378
1.88,0.0,0.0,-1.9446253930024973
1.89,0.0,0.0,-1.9400499611951332
1.9,0.0,0.0,-1.953134030117886
1.91,0.0,0.0,-1.9613542743176924
1.92,0.0,0.0,-1.9639965153537278
1.93,0.0,0.0,-1.959525260263264
1.94,0.0,0.0,-1.9526748985623685
1.95,0.0,0.0,-1.9740690674990073
1.96,0.0,0.0,-1.9896492288231218
1.97,0.0,0.0,-1.999146455127295
1.98,0.0,0.0,-2.0014013819144565
1.99,0.0,0.0,-2.020611060875545
2.0,0.0,0.0,-2.033237722520873
2.01,0.0,0.0,-2.0589707773416337
2.02,0.0,0.0,-2.0776861405901608
2.03,0.0,0.0,-2.089064429320173
2.04,0.0,0.0,-2.0914923193095416
2.05,0.0,0.0,-2.1025608774220337
2.06,0.0,0.0,-2.103887207017236
2.07,0.0,0.0,-2.095478125655148
2.08,0.0,0.0,-2.083158206151401
2.09,0.0,0.0,-2.0681497183706314
2.1,0.0,0.0,-2.0836336955885075
2.11,0.0,0.0,-2.0909201391177246
2.12,0.0,0.0,-2.0857696338621414
2.13,0.0,0.0,-2.075149163598454
2.14,0.0,0.0,-2.0901690868356466
2.15,0.0,0.0,-2.0963949093028296
2.16,0.0,0.0,-2.090009369290382
2.17,0.0,0.0,-2.0785815595849058
2.18,0.0,0.0,-2.1128207583471275
2.19,0.0,0.0,-2.1386761200923354
2.2,0.0,0.0,-2.1558801524951243
2.21,0.0,0.0,-2.1635174337322494
2.22,0.0,0.0,-2.1569094991613293
2.23,0.0,0.0,-2.1747849934278647
2.24,0.0,0.0,-2.201512660413162
2.25,0.0,0.0,-2.219047416106745
2.26,0.0,0.0,-2.226050090996912
2.27,0.0,0.0,-2.2180579311806974
2.28,0.0,0.0,-2.240732896861367
2.29,0.0,0.0,-2.2534524920085937
2.3,0.0,0.0,-2.251066459774005
2.31,0.0,0.0,-2.239346568005386
2.32,0.0,0.0,-2.2226285557291963
2.33,0.0,0.0,-2.233898335598326
2.34,0.0,0.0,-2.22940949574637
2.35,0.0,0.0,-2.2169499726255606
2.36,0.0,0.0,-2.199877521906231
2.37,0.0,0.0,-2.2073812081866095
2.38,0.0,0.0,-2.199461337173195
2.39,0.0,0.0,-2.1854701592854333
2.4,0.0,0.0,-2.1673870745351587
2.41,0.0,0.0,-2.1462735390448584
2.42,0.0,0.0,-2.1831601453469283
2.43,0.0,0.0,-2.210866008906361
2.44,0.0,0.0,-2.2290565775406894
2.45,0.0,0.0,-2.2363549387617505
2.46,0.0,0.0,-2.250615358713485
2.47,0.0,0.0,-2.2812605285764187
2.48,0.0,0.0,-2.3017790683827024
2.49,0.0,0.0,-2.3111053411821243
2.5,0.0,0.0,-2.303285185769425
2.51,0.0,0.0,-2.2881416728475363
2.52,0.0,0.0,-2.299934938732756
2.53,0.0,0.0,-2.294812261212725
2.54,0.0,0.0,-2.2812496586424515
2.55,0.0,0.0,-2.2624918640069884
2.56,0.0,0.0,-2.2664317140938346
2.57,0.0,0.0,-2.255668275692477
2.58,0.0,0.0,-2.2390570276866852
2.59,0.0,0.0,-2.2183453636803128
2.6,0.0,0.0,-2.2309817561842
2.61,0.0,0.0,-2.227711066209548
2.62,0.0,0.0,-2.21545131872271
2.63,0.0,0.0,-2.1980327822336574
2.64,0.0,0.0,-2.176961005953452
2.65,0.0,0.0,-2.202530957786235
2.66,0.0,0.0,-2.2182524444299005
2.67,0.0,0.0,-2.221808785309691
2.68,0.0,0.0,-2.2109595831015496
2.69,0.0,0.0,-2.1944450260277537
2.7,0.0,0.0,-2.210850383344029
2.71,0.0,0.0,-2.242192343004157
2.72,0.0,0.0,-2.26349673857525
2.73,0.0,0.0,-2.273608704050165
2.74,0.0,0.0,-2.2665605730594343
2.75,0.0,0.0,-2.25174973304091
2.76,0.0,0.0,-2.2478291065754608
2.77,0.0,0.0,-2.2348728584766038
2.78,0.0,0.0,-2.2165345150878064
2.79,0.0,0.0,-2.1942957913133534
2.8,0.0,0.0,-2.2045270961442314
2.81,0.0,0.0,-2.1981120819637705
2.82,0.0,0.0,-2.1842117444202334
2.83,0.0,0.0,-2.1655157830467493
2.84,0.0,0.0,-2.191658088434415
2.85,0.0,0.0,-2.2075578669229916
2.86,0.0,0.0,-2.210765165124687
2.87,0.0,0.0,-2.199547666829258
2.88,0.0,0.0,-2.1824707037676454
2.89,0.0,0.0,-2.1977298793337403
2.9,0.0,0.0,-2.1999164931997397
2.91,0.0,0.0,-2.2194707306492707
2.92,0.0,0.0,-2.2274785159981247
2.93,0.0,0.0,-2.2186612734007185
2.94,0.0,0.0,-2.2029689967478627
2.95,0.0,0.0,-2.182625823470935
2.96,0.0,0.0,-2.1805318371375533
2.97,0.0,0.0,-2.168453898567372
2.98,0.0,0.0,-2.150983810623105
2.99,0.0,0.0,-2.1296558622013206
3.0,0.0,0.0,-2.140455766597528
3.01,0.0,0.0,-2.135238894248991
3.02,0.0,0.0,-2.1222293727621366
3.03,0.0,0.0,-2.10452396696065
3.04,0.0,0.0,-2.083375828564423
3.05,0.0,0.0,-2.1066241508988286
3.06,0.0,0.0,-2.1199904716389937
3.07,0.0,0.0,-2.119048837118237
3.08,0.0,0.0,-2.107885528484294
3.09,0.0,0.0,-2.1263488243991286
3.1,0.0,0.0,-2.1340657583797515
3.11,0.0,0.0,-2.1543967192378566
3.12,0.0,0.0,-2.164191008344935
