time,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi
0.01,0.0037998796528724223,3.024274600893317e-05,1.0000021774924246,0.0,0.0,0.0
0.02,0.008848479786412863,0.00016402886771234564,1.000011810511288,0.0007536578707625016,0.0017571062962366305,0.0
0.03,0.013844173522156113,0.0004016957660115736,1.0000289246911924,0.00031220842080226,0.004230536715004508,0.0
0.04,0.01883531192483912,0.0007439924018519253,1.0000535763600358,-0.0013459726855540731,0.004001656475417059,0.0
0.05,0.023770438383596812,0.0011858579390583183,1.0000854044061438,-0.003066917386928002,0.003773497495397005,0.0
0.06,0.02874762391709989,0.001736121862366373,1.0001250493028915,-0.004737302616145381,0.0036073337102679277,0.0
0.07,0.033715344347829246,0.002390722800179465,1.0001722240984103,-0.006565307974215172,0.0033330066977876878,0.0
0.08,0.03862245484602899,0.003141413959740377,1.0002263408169045,-0.008628759339790057,0.002879522234092937,0.0
0.09,0.04366520477267488,0.004021491285626597,1.0002898080877634,-0.013680931846204244,0.003192301841090343,0.0
0.1,0.04854533538479304,0.0049789971257232545,1.0003588876529281,-0.016362323907712317,0.002350722745475884,0.0
0.11,0.05345882711284268,0.006049281256413518,1.0004361388473773,-0.0190511308813439,0.0026539269952685703,0.0
0.12,0.0584035459646324,0.007235213801752464,1.0005217808170597,-0.02130939821946066,0.002608471643439326,0.0
0.13,0.06323127413555428,0.008499763008130481,1.0006131505320746,-0.029300193365851566,0.0029528411037339024,0.0
0.14,0.068086981215819,0.009879422499149857,1.0007128970396961,-0.03286658798754047,0.002715451345795103,0.0
0.15,0.07292018470126413,0.01136163118278026,1.0008201270147161,-0.03656883258929129,0.0024531582757078008,0.0
0.16,0.07772927018312278,0.012946063370735464,1.0009348319849554,-0.04070378622913533,0.0023237777859347257,0.0
0.17,0.08251262766534138,0.014632370818180479,1.0010570028867565,-0.04797446112052045,0.0022060514405333785,0.0
0.18,0.08726865185985586,0.016420182781055746,1.0011866300655208,-0.05229276733251615,0.0019085420229948637,0.0
0.19,0.09199574248114477,0.018309106077110806,1.0013237032762794,-0.05671255866730724,0.0016075715210999188,0.0
0.2,0.09673911060880007,0.02031912839219113,1.0014696942779688,-0.061229770295797736,0.0013037135539092752,0.0
0.21,0.10135674863656818,0.022388602140900566,1.0016201438657366,-0.06879537378110023,0.001277664577937788,0.0
0.22,0.10598749125232186,0.02457827695423337,1.0017794878082875,-0.06800361962774916,0.0009115289270677965,0.0
0.23,0.1105829550414093,0.026867267339825477,1.0019462309119271,-0.07241471307087037,0.0006324877810271154,0.0
0.24,0.11514156912084389,0.02925506896915363,1.002120359989641,-0.0768932450287242,0.00034728903131676133,0.0
0.25,0.11970677209782378,0.031766510886776386,1.0023037134625192,-0.08706738131684726,0.0003950986939902467,0.0
0.26,0.12414199866776778,0.03432497875850688,1.002490720389032,-0.06569119095421372,7.44321133492072e-05,0.0
0.27,0.1285807072818488,0.037005968638849626,1.002686922408958,-0.06887111246747371,-0.00013782799304233598,0.0
0.28,0.1330200868450812,0.03981179468106231,1.0028925240443267,-0.07210020059804495,-0.00036374482521782495,0.0
0.29,0.1373274017290972,0.042657059607234614,1.0031012924562095,-0.07537570890383068,-0.0006060148641637158,0.0
0.3,0.1416323272422775,0.04562591237374243,1.0033194276827015,-0.07877855962492263,-0.0006751540033074632,0.0
0.31,0.145931939136481,0.04872054638308574,1.00354713102428,-0.06782001461170921,-0.000465808542549706,0.0
0.32,0.1500977471059576,0.05184695086228312,1.0037775121819765,-0.06337987181954115,-0.0006349180805598828,0.0
0.33,0.1542552327634842,0.05509776007319459,1.004017425172339,-0.06579958378271478,-0.0008634176660458756,0.0
0.34,0.1583605784298479,0.05844114303608372,1.0042645601714875,-0.06824084575718935,-0.0011141669234998638,0.0
0.35,0.16241230315518612,0.06187635884429466,1.0045188975947592,-0.07067975865382957,-0.0013862552139832574,0.0
0.36,0.16640893584553712,0.06540264574736944,1.004780417282166,-0.06915372532625405,-0.0013850358042913733,0.0
0.37,0.17034901553675974,0.06901922127680653,1.0050490984995901,-0.06532697747069798,-0.0015503680505264486,0.0
0.38,0.17423109166689377,0.07272528237526794,1.0053249199400136,-0.0675116594195239,-0.0018609600535978354,0.0
0.39,0.17805372434691916,0.07652000552921653,1.0056078597247813,-0.06968649360265773,-0.002197453336564638,0.0
0.4,0.18181548462987182,0.0804025469049634,1.0058978954048992,-0.06884730262431983,-0.0022354947036463727,0.0
0.41,0.1855516301467478,0.08441217358820055,1.0061980106866433,-0.0698893074378891,-0.002582202359816859,0.0
0.42,0.18918675987222097,0.08846859549608889,1.0065022389077065,-0.07201871719886226,-0.0029989300756674336,0.0
0.43,0.19272141136141419,0.0925683401755944,1.0068103448005246,-0.07411467271049052,-0.003441928214511365,0.0
0.44,0.19622562075109076,0.0967933146495619,1.007128528212633,-0.07282559039271772,-0.0035783288787128264,0.0
